"date","kms"
"Jan-1969",9059
"Feb-1969",7685
"Mar-1969",9963
"Apr-1969",10955
"May-1969",11823
"Jun-1969",12391
"Jul-1969",13460
"Aug-1969",14055
"Sep-1969",12106
"Oct-1969",11372
"Nov-1969",9834
"Dec-1969",9267
"Jan-1970",9130
"Feb-1970",8933
"Mar-1970",11000
"Apr-1970",10733
"May-1970",12912
"Jun-1970",12926
"Jul-1970",13990
"Aug-1970",14926
"Sep-1970",12900
"Oct-1970",12034
"Nov-1970",10643
"Dec-1970",10742
"Jan-1971",10266
"Feb-1971",10281
"Mar-1971",11527
"Apr-1971",12281
"May-1971",13587
"Jun-1971",13049
"Jul-1971",16055
"Aug-1971",15220
"Sep-1971",13824
"Oct-1971",12729
"Nov-1971",11467
"Dec-1971",11351
"Jan-1972",10803
"Feb-1972",10548
"Mar-1972",12368
"Apr-1972",13311
"May-1972",13885
"Jun-1972",14088
"Jul-1972",16932
"Aug-1972",16164
"Sep-1972",14883
"Oct-1972",13532
"Nov-1972",12220
"Dec-1972",12025
"Jan-1973",11692
"Feb-1973",11081
"Mar-1973",13745
"Apr-1973",14382
"May-1973",14391
"Jun-1973",15597
"Jul-1973",16834
"Aug-1973",17282
"Sep-1973",15779
"Oct-1973",13946
"Nov-1973",12701
"Dec-1973",10431
"Jan-1974",11616
"Feb-1974",10808
"Mar-1974",12421
"Apr-1974",13605
"May-1974",14455
"Jun-1974",15019
"Jul-1974",15662
"Aug-1974",16745
"Sep-1974",14717
"Oct-1974",13756
"Nov-1974",12531
"Dec-1974",12568
"Jan-1975",11249
"Feb-1975",11096
"Mar-1975",12637
"Apr-1975",13018
"May-1975",15005
"Jun-1975",15235
"Jul-1975",15552
"Aug-1975",16905
"Sep-1975",14776
"Oct-1975",14104
"Nov-1975",12854
"Dec-1975",12956
"Jan-1976",12177
"Feb-1976",11918
"Mar-1976",13517
"Apr-1976",14417
"May-1976",15911
"Jun-1976",15589
"Jul-1976",16543
"Aug-1976",17925
"Sep-1976",15406
"Oct-1976",14601
"Nov-1976",13107
"Dec-1976",12268
"Jan-1977",11972
"Feb-1977",12028
"Mar-1977",14033
"Apr-1977",14244
"May-1977",15287
"Jun-1977",16954
"Jul-1977",17361
"Aug-1977",17694
"Sep-1977",16222
"Oct-1977",14969
"Nov-1977",13624
"Dec-1977",13842
"Jan-1978",12387
"Feb-1978",11608
"Mar-1978",15021
"Apr-1978",14834
"May-1978",16565
"Jun-1978",16882
"Jul-1978",18012
"Aug-1978",18855
"Sep-1978",17243
"Oct-1978",16045
"Nov-1978",14745
"Dec-1978",13726
"Jan-1979",11196
"Feb-1979",12105
"Mar-1979",14723
"Apr-1979",15582
"May-1979",16863
"Jun-1979",16758
"Jul-1979",17434
"Aug-1979",18359
"Sep-1979",17189
"Oct-1979",16909
"Nov-1979",15380
"Dec-1979",15161
"Jan-1980",14027
"Feb-1980",14478
"Mar-1980",16155
"Apr-1980",16585
"May-1980",18117
"Jun-1980",17552
"Jul-1980",18299
"Aug-1980",19361
"Sep-1980",17924
"Oct-1980",17872
"Nov-1980",16058
"Dec-1980",15746
"Jan-1981",15226
"Feb-1981",14932
"Mar-1981",16846
"Apr-1981",16854
"May-1981",18146
"Jun-1981",17559
"Jul-1981",18655
"Aug-1981",19453
"Sep-1981",17923
"Oct-1981",17915
"Nov-1981",16496
"Dec-1981",13544
"Jan-1982",13601
"Feb-1982",15667
"Mar-1982",17358
"Apr-1982",18112
"May-1982",18581
"Jun-1982",18759
"Jul-1982",20668
"Aug-1982",21040
"Sep-1982",18993
"Oct-1982",18668
"Nov-1982",16768
"Dec-1982",16551
"Jan-1983",16231
"Feb-1983",15511
"Mar-1983",18308
"Apr-1983",17793
"May-1983",19205
"Jun-1983",19162
"Jul-1983",20997
"Aug-1983",20705
"Sep-1983",18759
"Oct-1983",19240
"Nov-1983",17504
"Dec-1983",16591
"Jan-1984",16224
"Feb-1984",16670
"Mar-1984",18539
"Apr-1984",19759
"May-1984",19584
"Jun-1984",19976
"Jul-1984",21486
"Aug-1984",21626
"Sep-1984",20195
"Oct-1984",19928
"Nov-1984",18564
"Dec-1984",18149
